day,slacks
20160101,0
20160102,0
20160103,0
20160104,0
20160105,0
20160106,0
20160107,32
20160108,17
20160109,0
20160110,20
20160111,89
20160112,44
20160113,128
20160114,23
20160115,25
20160116,13
20160117,7
20160118,12
20160119,16
20160120,68
20160121,11
20160122,41
20160123,0
20160124,0
20160125,91
20160126,91
20160127,164
20160128,67
20160129,35
20160130,0
20160131,20
20160201,42
20160202,78
20160203,119
20160204,94
20160205,28
20160206,2
20160207,2
20160208,109
20160209,52
20160210,84
20160211,107
20160212,12
20160213,2
20160214,15
20160215,35
20160216,308
20160217,70
20160218,72
20160219,100
20160220,162
20160221,123
20160222,315
20160223,78
20160224,143
20160225,100
20160226,91
20160227,292
20160228,132
20160229,210
20160301,387
20160302,70
20160303,90
20160304,37
20160305,11
20160306,7
20160307,250
20160308,50
20160309,85
20160310,175
20160311,84
20160312,18
20160313,32
20160314,55
20160315,12
20160316,88
20160317,248
20160318,70
20160319,10
20160320,12
20160321,75
20160322,95
20160323,138
20160324,128
20160325,56
20160326,5
20160327,38
20160328,60
20160329,48
20160330,60
20160331,80
20160401,111
20160402,22
20160403,12
20160404,166
20160405,91
20160406,103
20160407,110
20160408,69
20160409,11
20160410,13
20160411,130
20160412,50
20160413,144
20160414,118
20160415,51
20160416,10
20160417,3
20160418,81
20160419,64
20160420,29
20160421,40
20160422,34
20160423,8
20160424,0
20160425,47
20160426,71
20160427,55
20160428,152
20160429,67
20160430,12
20160501,35
20160502,65
20160503,93
20160504,359
20160505,82
20160506,7
20160507,1
20160508,0
20160509,60
20160510,80
20160511,112
20160512,101
20160513,38
20160514,3
20160515,11
20160516,41
20160517,19
20160518,143
20160519,51
20160520,152
20160521,0
20160522,8
20160523,19
20160524,21
20160525,17
20160526,20
20160527,26
20160528,12
20160529,1
20160530,1
20160531,67
20160601,48
20160602,29
20160603,10
20160604,0
20160605,1
20160606,17
20160607,110
20160608,33
20160609,191
20160610,161
20160611,0
20160612,0
20160613,110
20160614,18
20160615,31
20160616,49
20160617,54
20160618,3
20160619,1
20160620,52
20160621,210
20160622,38
20160623,49
20160624,41
20160625,0
20160626,2
20160627,130
20160628,35
20160629,96
20160630,44
20160701,34
20160702,12
20160703,0
20160704,0
20160705,78
20160706,151
20160707,67
20160708,48
20160709,0
20160710,2
20160711,118
20160712,35
20160713,55
20160714,87
20160715,12
20160716,4
20160717,3
20160718,120
20160719,76
20160720,231
20160721,80
20160722,75
20160723,2
20160724,4
20160725,100
20160726,58
20160727,96
20160728,18
20160729,52
20160730,3
20160731,0
20160801,93
20160802,112
20160803,92
20160804,245
20160805,51
20160806,6
20160807,15
20160808,67
20160809,49
20160810,81
20160811,235
20160812,157
20160813,10
20160814,5
20160815,192
20160816,137
20160817,203
20160818,122
20160819,116
20160820,0
20160821,0
20160822,85
20160823,12
20160824,20
20160825,20
20160826,80
20160827,0
20160828,0
20160829,90
20160830,23
20160831,75
20160901,194
20160902,12
20160903,0
20160904,2
20160905,52
20160906,92
20160907,99
20160908,107
20160909,22
20160910,6
20160911,2
20160912,30
20160913,91
20160914,67
20160915,98
20160916,55
20160917,7
20160918,16
20160919,40
20160920,49
20160921,53
20160922,170
20160923,160
20160924,17
20160925,17
20160926,104
20160927,51
20160928,38
20160929,152
20160930,58
20161001,12
20161002,29
20161003,95
20161004,203
20161005,158
20161006,184
20161007,114
20161008,26
20161009,21
20161010,15
20161011,53
20161012,143
20161013,149
20161014,101
20161015,26
20161016,23
20161017,109
20161018,90
20161019,181
20161020,96
20161021,73
20161022,14
20161023,9
20161024,107
20161025,79
20161026,228
20161027,116
20161028,151
20161029,100
20161030,43
20161031,63
20161101,176
20161102,159
20161103,179
20161104,193
20161105,31
20161106,49
20161107,145
20161108,281
20161109,279
20161110,179
20161111,85
20161112,14
20161113,40
20161114,195
20161115,152
20161116,226
20161117,210
20161118,124
